Year,Month,Segment,Sub-Segment,Category,Subcategory,Tag,Amount,Quarter,Difference,Difference YTD Budget
2025,March,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,,Total S&M,Actual,-2332381282,Q1,,
2025,March,Mitra,VP 3P Mitra,,CM,Actual,3813805915,Q1,,
2025,March,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-40565716,Q1,,
2025,March,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-12409671,Q1,,
2025,March,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,88361420,Q1,,
2025,March,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-10091619,Q1,,
2025,March,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-386196,Q1,,
2025,March,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,24908218,Q1,,
2025,March,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3838714133,Q1,,
2025,March,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3838714133,Q1,,
2025,April,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5541974203,Q2,,
2025,April,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,GP,GP,Actual,5541974203,Q2,,
2025,April,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1934929452,Q2,,
2025,April,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-3250000,Q2,,
2025,April,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,,Total S&M,Actual,-1938179452,Q2,,
2025,April,Mitra,VP 3P Mitra,,CM,Actual,3603794751,Q2,,
2025,April,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-57754057,Q2,,
2025,April,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-1541130,Q2,,
2025,April,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-1500000,Q2,,
2025,April,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q2,,
2025,April,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-274079,Q2,,
2025,April,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-61069266,Q2,,
2025,April,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3542725485,Q2,,
2025,April,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3542725485,Q2,,
2025,May,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5831198695,Q2,,
2025,May,Mitra,VP 3P Mitra,COGS,COGS,Actual,-46670698,Q2,,
2025,May,Mitra,VP 3P Mitra,GP,GP,Actual,5784527997,Q2,,
2025,May,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1847842379,Q2,,
2025,May,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2010500,Q2,,
2025,May,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,,Total S&M,Actual,-1849852879,Q2,,
2025,May,Mitra,VP 3P Mitra,,CM,Actual,3934675118,Q2,,
2025,May,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-43107267,Q2,,
2025,May,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-972364,Q2,,
2025,May,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,916667,Q2,,
2025,May,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q2,,
2025,May,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-1363580,Q2,,
2025,May,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-44526544,Q2,,
2025,May,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3890148574,Q2,,
2025,May,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3890148574,Q2,,
2025,June,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5753850861,Q2,,
2025,June,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,GP,GP,Actual,5753850861,Q2,,
2025,June,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1493773071,Q2,,
2025,June,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000500,Q2,,
2025,June,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,,Total S&M,Actual,-1495773571,Q2,,
2025,June,Mitra,VP 3P Mitra,,CM,Actual,4258077290,Q2,,
2025,June,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-94970893,Q2,,
2025,June,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,16942459,Q2,,
2025,June,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,-500000,Q2,,
2025,June,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-3448203,Q2,,
2025,June,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q2,,
2025,June,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-400000,Q2,,
2025,June,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-82376637,Q2,,
2025,June,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,4175700653,Q2,,
2025,June,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,4175700653,Q2,,
2025,July,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5994045301,Q3,,
2025,July,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,GP,GP,Actual,5994045301,Q3,,
2025,July,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1908477113,Q3,,
2025,July,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-1450000,Q3,,
2025,July,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,,Total S&M,Actual,-1909927113,Q3,,
2025,July,Mitra,VP 3P Mitra,,CM,Actual,4084118188,Q3,,
2025,July,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-47739254,Q3,,
2025,July,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-835500,Q3,,
2025,July,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-33905618,Q3,,
2025,July,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q3,,
2025,July,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-600000,Q3,,
2025,July,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-83080372,Q3,,
2025,July,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,4001037816,Q3,,
2025,July,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,4001037816,Q3,,
2025,August,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5963030235,Q3,,
2025,August,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,GP,GP,Actual,5963030235,Q3,,
2025,August,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1507275598,Q3,,
2025,August,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000,Q3,,
2025,August,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,,Total S&M,Actual,-1509275598,Q3,,
2025,August,Mitra,VP 3P Mitra,,CM,Actual,4453754637,Q3,,
2025,August,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-62959986,Q3,,
2025,August,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-1116600,Q3,,
2025,August,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-16179035,Q3,,
2025,August,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q3,,
2025,August,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-764414,Q3,,
2025,August,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-81020035,Q3,,
2025,August,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,4372734602,Q3,,
2025,August,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,4372734602,Q3,,
2025,September,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5300536925,Q3,,
2025,September,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,GP,GP,Actual,5300536925,Q3,,
2025,September,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1824240349,Q3,,
2025,September,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000,Q3,,
2025,September,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,-35280,Q3,,
2025,September,Mitra,VP 3P Mitra,,Total S&M,Actual,-1826275629,Q3,,
2025,September,Mitra,VP 3P Mitra,,CM,Actual,3474261296,Q3,,
2025,September,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-96857516,Q3,,
2025,September,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-6870056,Q3,,
2025,September,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-5920547,Q3,,
2025,September,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q3,,
2025,September,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-1191272,Q3,,
2025,September,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-110839391,Q3,,
2025,September,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3363421905,Q3,,
2025,September,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3363421905,Q3,,
2025,October,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5377577868,Q4,,
2025,October,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,GP,GP,Actual,5377577868,Q4,,
2025,October,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1450416808,Q4,,
2025,October,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000,Q4,,
2025,October,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,,Total S&M,Actual,-1452416808,Q4,,
2025,October,Mitra,VP 3P Mitra,,CM,Actual,3925161060,Q4,,
2025,October,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-310538816,Q4,,
2025,October,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-9614225,Q4,,
2025,October,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-7526740,Q4,,
2025,October,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q4,,
2025,October,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-400000,Q4,,
2025,October,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-328079781,Q4,,
2025,October,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3597081279,Q4,,
2025,October,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3597081279,Q4,,
2025,November,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5541350643,Q4,,
2025,November,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,GP,GP,Actual,5541350643,Q4,,
2025,November,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1689152377,Q4,,
2025,November,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000,Q4,,
2025,November,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,-720,Q4,,
2025,November,Mitra,VP 3P Mitra,,Total S&M,Actual,-1691153097,Q4,,
2025,November,Mitra,VP 3P Mitra,,CM,Actual,3850197546,Q4,,
2025,November,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-277637366,Q4,,
2025,November,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-422785,Q4,,
2025,November,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-35340860,Q4,,
2025,November,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q4,,
2025,November,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-966000,Q4,,
2025,November,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-314367011,Q4,,
2025,November,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3535830535,Q4,,
2025,November,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3535830535,Q4,,
2025,December,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5016451379,Q4,,
2025,December,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,GP,GP,Actual,5016451379,Q4,,
2025,December,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1346881736,Q4,,
2025,December,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,-2000000,Q4,,
2025,December,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,,Total S&M,Actual,-1348881736,Q4,,
2025,December,Mitra,VP 3P Mitra,,CM,Actual,3667569643,Q4,,
2025,December,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-293872961,Q4,,
2025,December,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-10666200,Q4,,
2025,December,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-17832521,Q4,,
2025,December,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q4,,
2025,December,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-400000,Q4,,
2025,December,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-322771682,Q4,,
2025,December,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3344797961,Q4,,
2025,December,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3344797961,Q4,,
2025,January,Retail,Retail HQ,Revenue,Revenue,Actual,7313199063,Q1,,
2025,January,Retail,Retail HQ,COGS,COGS,Actual,-7138131491,Q1,,
2025,January,Retail,Retail HQ,GP,GP,Actual,175067572,Q1,,
2025,January,Retail,Retail HQ,SM,S&M - O2O,Actual,-45658184,Q1,,
2025,January,Retail,Retail HQ,SM,S&M - Offline,Actual,-10870000,Q1,,
2025,January,Retail,Retail HQ,SM,S&M - Online,Actual,182244,Q1,,
2025,January,Retail,Retail HQ,SM,S&M - Others,Actual,113223785,Q1,,
2025,January,Retail,Retail HQ,SM,S&M - Others (FD & SS Cashback),Actual,0,Q1,,
2025,January,Retail,Retail HQ,SM,S&M - Payment Channel,Actual,-4463736,Q1,,
2025,January,Retail,Retail HQ,SM,S&M - PCV,Actual,-2247200,Q1,,
2025,January,Retail,Retail HQ,SM,S&M - Distribution Cost,Actual,0,Q1,,
2025,January,Retail,Retail HQ,,Total S&M,Actual,50166909,Q1,,
2025,January,Retail,Retail HQ,,CM,Actual,225234481,Q1,,
2025,January,Retail,Retail HQ,GA,G&A - Staff Cost,Actual,0,Q1,,
2025,January,Retail,Retail HQ,GA,G&A - Other staff cost,Actual,87923499,Q1,,
2025,January,Retail,Retail HQ,GA,G&A - Facility Management and Travelling,Actual,47604484,Q1,,
